Name,Severity,Activation Period,Training Period,Test Period,Deduplication Period,Detection Modules,ATT&CK Tactic,ATT&CK Technique,XDR Agent,XDR Agent (with XTH),Windows Event Collector,PAN Platform Logs,Azure Audit Logs,GCP Audit Logs,Azure AD,Azure AD Audit Logs,AWS Audit Logs,Okta,Ping,OneLogin,Google Workspace Audit Logs,Office 365 Audit Logs,Box Audit Logs,DropBox Audit Logs,PAN Global Protect/3rd Party VPN
A Kubernetes Cronjob was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Scheduled Task/Job: Container Orchestration Job (T1053.007),,,,,X,X,,,X,,,,,,,,
An AWS RDS Global Cluster Deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,,,,X,,,,,,,,
Suspicious usage of EC2 token,Medium,14 Days,30 Days,N/A (single event),5 Days,Cloud,Credential Access (TA0006),Steal Application Access Token (T1528)Unsecured Credentials (T1552),,,,,,,,,X,,,,,,,,
Unusual secret management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552)Credentials from Password Stores: Cloud Secrets Management Stores (T1555.006),,,,,X,X,,,X,,,,,,,,
Kubernetes network policy modification,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Impact (TA0040),Network Denial of Service (T1498),,,,,X,X,,,X,,,,,,,,
Penetration testing tool activity,Medium,14 Days,30 Days,N/A (single event),7 Days,Cloud,Execution (TA0002),User Execution (T1204),,,,,X,X,,,X,,,,,,,,
AWS CloudWatch log group deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040)Defense Evasion (TA0005),Data Destruction (T1485)Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
Kubernetes pod creation with host network,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
IAM User added to an IAM group,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Persistence (TA0003)Privilege Escalation (TA0004),Account Manipulation (T1098)Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Unusual key management activity,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Credential Access (TA0006),Unsecured Credentials (T1552),,,,,X,X,,,X,,,,,,,,
An AWS RDS master password was changed,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Cloud Trail Logging has been stopped/suspended,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses: Disable or Modify Cloud Logs (T1562.008),,,,,,,,,X,,,,,,,,
An AWS EKS cluster was created or deleted,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Impact (TA0040),Data Destruction (T1485)Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
A cloud function was created with an unusual runtime,Low,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Command and Scripting Interpreter (T1059),,,,,,X,,,X,,,,,,,,
Kubernetes Pod created with host process ID (PID) namespace,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004)Execution (TA0002),Escape to Host (T1611)Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
AWS config resource deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Defense Evasion (TA0005),Impair Defenses (T1562),,,,,,,,,X,,,,,,,,
A cloud identity had escalated its permissions,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Privilege Escalation (TA0004),Valid Accounts (T1078),,,,,X,X,,,X,,,,,,,,
AWS RDS cluster deletion,Informational,14 Days,30 Days,N/A (single event),1 Day,Cloud,Impact (TA0040),Data Destruction (T1485),,,,,,,,,X,,,,,,,,
A Kubernetes StatefulSet was created,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Execution (TA0002),Deploy Container (T1610),,,,,X,X,,,X,,,,,,,,
An AWS SAML provider was modified,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Initial Access (TA0001)Defense Evasion (TA0005),Trusted Relationship (T1199)Modify Authentication Process (T1556),,,,,,,,,X,,,,,,,,
An Email address was added to AWS SES,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Valid Accounts (T1078),,,,,,,,,X,,,,,,,,
Unusual Identity and Access Management (IAM) activity,Informational,14 Days,30 Days,N/A (single event),5 Days,Cloud,Persistence (TA0003),Account Manipulation: Additional Cloud Credentials (T1098.001)Valid Accounts: Cloud Accounts (T1078.004),,,,,,X,,,X,,,,,,,,
